query,prompt,style,persona,sentence
"area:
  type: area
  value: Jeffery Town, Jamaica
entities:
- id: 0
  is_area: true
  name: islet
  type: nwr
","Act as a expert fact checker: Return a sentence simulating a user using a natural language interface to search for specific geographic locations. Do not affirm this request and return nothing but the answers.
Write the search request as a chain of thoughts split into multiple sentences.
The user is searching for a crossing that fulfills the following search criteria:
Search area: Jeffery Town, Jamaica
Obj. 0: islet
",as a chain of thoughts split into multiple sentences,expert fact checker,I wonder if there are any small islands near Jeffery Town in Jamaica. Maybe there is an islet that I can visit in that area. Let me see if I can find information on any islets around Jeffery Town.
"area:
  type: area
  value: Chiba Prefecture
entities:
- id: 0
  is_area: true
  name: mini roundabout
  properties:
  - name: parking area
  - name: interstate
  type: nwr
- id: 1
  is_area: false
  name: antenna
  type: nwr
- id: 2
  is_area: false
  name: sports shop
  type: nwr
- id: 3
  is_area: true
  name: woodlands
  properties:
  - name: forest
  - name: brand name
    operator: '~'
    value: us
  - name: back yard
  type: nwr
relations:
- source: 0
  target: 1
  type: contains
- source: 2
  target: 3
  type: dist
  value: 6.5 cm
- source: 3
  target: 1
  type: dist
  value: 25 m
","Act as a hobby fact checker: Return a sentence simulating a user using a natural language interface to search for specific geographic locations. Do not affirm this request and return nothing but the answers.
Write the search request like someone in a hurry.
The sentence must use all of the following search criteria:
Search area: Chiba Prefecture
Obj. 0: mini roundabout, parking area, interstate
Obj. 1: antenna
Obj. 2: sports shop
Obj. 3: woodlands, forest, brand name: begins with the letters ""us"", back yard
Distances:
Obj. 1 is in Obj. 0
Obj. 2 is 6.5 centimeters from Obj. 3
Use this term to describe the spatial relation between Obj. 3 and 1 similar to (similar to ""X is _ Y""): not far away",like someone in a hurry,hobby fact checker,"Find mini roundabout, parking area, interstate in Chiba Prefecture. Antenna. Sports shop 6.5 centimeters from woodlands, forest, brand name: begins with the letters ""us"", back yard. Obj. 1 is in Obj. 0. Obj. 2 is 6.5 centimeters from Obj. 3. Obj. 3 is not far away from Obj. 1."
"area:
  type: area
  value: Champs-sur-Marne
entities:
- id: 0
  is_area: true
  name: jeu de boules
  type: nwr
- id: 1
  is_area: true
  name: grass
  type: nwr
- id: 2
  is_area: true
  name: data center
  type: nwr
- id: 3
  is_area: true
  name: barn
  type: nwr
","Act as a OSINT beginner: Return a sentence simulating a user using a natural language interface to search for specific geographic locations. Do not affirm this request and return nothing but the answers.
Write the search request with very precise wording, short, to the point.
The sentence must use all of the following search criteria:
Search area: Champs-sur-Marne
Obj. 0: jeu de boules
Obj. 1: grass
Obj. 2: data center
Obj. 3: barn
","with very precise wording, short, to the point",OSINT beginner,"Find locations in Champs-sur-Marne with jeu de boules, grass, data center, and barn."
"area:
  type: area
  value: Minas de Corrales, Uruguay
entities:
- id: 0
  is_area: true
  name: military building
  type: nwr
","Act as a OSINT beginner: Return a sentence simulating a user using a natural language interface to search for specific geographic locations. Do not affirm this request and return nothing but the answers.
Write the search request like someone in a hurry.
The sentence must use all of the following search criteria:
Search area: Minas de Corrales, Uruguay
Obj. 0: military building
",like someone in a hurry,OSINT beginner,"Show me any military buildings in Minas de Corrales, Uruguay."
"area:
  type: bbox
  value: ''
entities:
- id: 0
  is_area: false
  name: electronics shop
  type: nwr
- id: 1
  is_area: false
  name: moving sidewalk
  type: nwr
relations:
- source: 0
  target: 1
  type: dist
  value: 0.99 mi
","Act as a expert fact checker: Return a sentence simulating a user using a natural language interface to search for specific geographic locations. Do not affirm this request and return nothing but the answers.
Write the search request with very elaborate wording.
The sentence must use all of the following search criteria:
Obj. 0: electronics shop
Obj. 1: moving sidewalk
Distances:
All objects are within 0.99 miles",with very elaborate wording,expert fact checker,Find me the nearest electronics shop and moving sidewalk within a one-mile radius.
"area:
  type: area
  value: ""Cant\xF3n Villaflor, Chiapas, Mexico""
entities:
- id: 0
  is_area: true
  name: grandstand
  type: nwr
- id: 1
  is_area: true
  name: australian football field
  type: nwr
","Act as a hobby fact checker: Return a sentence simulating a user using a natural language interface to search for specific geographic locations. Do not affirm this request and return nothing but the answers.
Write the search request with very elaborate wording.
The sentence must use all of the following search criteria:
Search area: Cantón Villaflor, Chiapas, Mexico
Obj. 0: grandstand
Obj. 1: australian football field
",with very elaborate wording,hobby fact checker,"Can you please provide me with information on the location of a grandstand and an Australian football field in Cantón Villaflor, Chiapas, Mexico?"
"area:
  type: area
  value: Segbwema, Eastern Province, Sierra Leone
entities:
- id: 0
  is_area: true
  name: la luz del mundo temple
  properties:
  - name: house number
    operator: '='
    value: '27910'
  - name: civic building
  - name: height
    operator: <
    value: 29370 yd
  type: nwr
- id: 1
  is_area: false
  name: fabric shop
  type: nwr
relations:
- source: 0
  target: 1
  type: contains
","Act as a investigative journalist: Return a sentence simulating a user using a natural language interface to search for specific geographic locations. Do not affirm this request and return nothing but the answers.
Write the search request in perfect grammar and clear wording.
The user is searching for a location that fulfills the following search criteria:
Search area: Segbwema, Eastern Province, Sierra Leone
Obj. 0: la luz del mundo temple, house number: 27910, civic building, height: smaller than 29370 yd
Obj. 1: fabric shop
Distances:
Obj. 1 is inside Obj. 0
",in perfect grammar and clear wording,investigative journalist,"Find me a location in Segbwema, Eastern Province, Sierra Leone where there is a la luz del mundo temple with the house number 27910, a civic building that is smaller than 29370 yards in height, and a fabric shop that is located inside the temple."
"area:
  type: area
  value: Muskiz, Bizkaia, Spain
entities:
- id: 0
  is_area: false
  name: flagpole
  type: nwr
- id: 1
  is_area: false
  name: charity office
  type: nwr
- id: 2
  is_area: false
  name: permanent tent
  type: nwr
relations:
- source: 0
  target: 1
  type: dist
  value: 76.64 m
- source: 0
  target: 2
  type: dist
  value: 76.64 m
","Act as a investigative journalist: Return a sentence simulating a user using a natural language interface to search for specific geographic locations. Do not affirm this request and return nothing but the answers.
Write the search request like someone in a hurry.
The user is searching for a location that fulfills the following search criteria:
Search area: Muskiz, Bizkaia, Spain
Obj. 0: flagpole
Obj. 1: charity office
Obj. 2: permanent tent
Distances:
All objects are within 76.64 meters",like someone in a hurry,investigative journalist,"Find flagpole, charity office, and permanent tent in Muskiz, Bizkaia, Spain within 76.64 meters."
"area:
  type: area
  value: Veracruz de Ignacio de la Llave
entities:
- id: 0
  is_area: true
  name: bowling green
  type: nwr
- id: 1
  is_area: true
  name: escarpment
  type: nwr
- id: 2
  is_area: true
  name: campus
  type: nwr
- id: 3
  is_area: true
  name: surge
  type: nwr
relations:
- source: 0
  target: 1
  type: dist
  value: 0.04 yd
- source: 1
  target: 2
  type: dist
  value: 25 m
- source: 2
  target: 3
  type: dist
  value: 100 m
","Act as a hobby fact checker: Return a sentence simulating a user using a natural language interface to search for specific geographic locations. Do not affirm this request and return nothing but the answers.
Write the search request with very precise wording, short, to the point.
The user is searching for a place that fulfills the following search criteria:
Search area: Veracruz de Ignacio de la Llave
Obj. 0: bowling green
Obj. 1: escarpment
Obj. 2: campus
Obj. 3: surge
Distances:
Obj. 0 is at least 0.04 yards away Obj. 1
Use this term to describe the spatial relation between Obj. 1 and 2 similar to (similar to ""X is _ Y""): enclosed by
Use this term to describe the spatial relation between Obj. 2 and 3 similar to (similar to ""X is _ Y""): around it","with very precise wording, short, to the point",hobby fact checker,"Veracruz de Ignacio de la Llave bowling green
Veracruz de Ignacio de la Llave escarpment
Veracruz de Ignacio de la Llave campus
Veracruz de Ignacio de la Llave surge"
"area:
  type: bbox
  value: ''
entities:
- id: 0
  is_area: true
  name: tourist attraction
  type: nwr
- id: 1
  is_area: false
  name: forestry office
  type: nwr
- id: 2
  is_area: true
  name: badminton
  type: nwr
relations:
- source: 0
  target: 1
  type: contains
- source: 2
  target: 1
  type: dist
  value: 899 mi
","Act as a investigative journalist: Return a sentence simulating a user using a natural language interface to search for specific geographic locations. Do not affirm this request and return nothing but the answers.
Write the search request with very elaborate wording.
The user is searching for an area that fulfills the following search criteria:
Obj. 0: tourist attraction
Obj. 1: forestry office
Obj. 2: badminton
Distances:
Obj. 1 is contained in Obj. 0
Obj. 2 is approximately 899 mi away Obj. 1",with very elaborate wording,investigative journalist,"Find me a tourist attraction that also has a forestry office on site, and is located approximately 899 miles away from a badminton facility."
"area:
  type: area
  value: Ngorongoro, Tanzania
entities:
- id: 0
  is_area: false
  name: supermarket
  type: nwr
","Act as a hobby fact checker: Return a sentence simulating a user using a natural language interface to search for specific geographic locations. Do not affirm this request and return nothing but the answers.
Write the search request sloppy and quick, with spelling mistakes.
The user is searching for a place that fulfills the following search criteria:
Search area: Ngorongoro, Tanzania
Obj. 0: supermarket
","sloppy and quick, with spelling mistakes",hobby fact checker,"Find supermarked in Ngorongo, Tanzania"
"area:
  type: area
  value: Khuzestan
entities:
- id: 0
  is_area: false
  name: canopy
  type: nwr
","Act as a legal professional: Return a sentence simulating a user using a natural language interface to search for specific geographic locations. Do not affirm this request and return nothing but the answers.
Write the search request with very precise wording, short, to the point.
The sentence must use all of the following search criteria:
Search area: Khuzestan
Obj. 0: canopy
","with very precise wording, short, to the point",legal professional,"Search for ""canopy in Khuzestan"""
"area:
  type: area
  value: ""Selenic\xEB, Vlor\xEB County, Albania""
entities:
- id: 0
  is_area: false
  name: guest house
  type: nwr
- id: 1
  is_area: false
  name: hairdresser
  type: nwr
relations:
- source: 0
  target: 1
  type: dist
  value: 8.0 ft
","Act as a human rights abuse monitoring OSINT Expert: Return a sentence simulating a user using a natural language interface to search for specific geographic locations. Do not affirm this request and return nothing but the answers.
Write the search request sloppy and quick, with spelling mistakes.
The user is searching for a street that fulfills the following search criteria:
Search area: Selenicë, Vlorë County, Albania
Obj. 0: guest house
Obj. 1: hairdresser
Distances:
All objects are within 8.0 ft","sloppy and quick, with spelling mistakes",human rights abuse monitoring OSINT Expert,search for guest house in selenice albania. hairdresser near selenice vlore albania. within 8 feet.
"area:
  type: bbox
  value: ''
entities:
- id: 0
  is_area: true
  name: theatre
  type: nwr
- id: 1
  is_area: false
  name: guest house
  type: nwr
- id: 2
  is_area: true
  name: taxi stand
  properties:
  - name: building number
    operator: '='
    value: 87-24
  type: nwr
- id: 3
  is_area: true
  name: sand dune
  type: nwr
relations:
- source: 0
  target: 1
  type: contains
- source: 2
  target: 3
  type: dist
  value: 100 m
- source: 3
  target: 1
  type: dist
  value: 4.06 m
","Act as a legal professional: Return a sentence simulating a user using a natural language interface to search for specific geographic locations. Do not affirm this request and return nothing but the answers.
Write the search request sloppy and quick, with spelling mistakes.
The user is searching for a place that fulfills the following search criteria:
Obj. 0: theatre
Obj. 1: guest house
Obj. 2: taxi stand, building number: 87-24
Obj. 3: sand dune
Distances:
Obj. 1 is contained in Obj. 0
Use this term to describe the spatial relation between Obj. 2 and 3 similar to (similar to ""X is _ Y""): around it
Obj. 3 is 4.06 m away Obj. 1","sloppy and quick, with spelling mistakes",legal professional,theatre guest house taxi stand 87-24 sand dune around it 4.06 m
"area:
  type: bbox
  value: ''
entities:
- id: 0
  is_area: true
  name: metro
  properties:
  - name: railroad tunnel
  - name: brand
    operator: '~'
    value: East Railroad Avenue
  type: nwr
","Act as a investigative journalist: Return a sentence simulating a user using a natural language interface to search for specific geographic locations. Do not affirm this request and return nothing but the answers.
Write the search request with very precise wording, short, to the point.
The user is searching for a corner that fulfills the following search criteria:
Obj. 0: metro, railroad tunnel, brand:  ""East Railroad Avenue""
","with very precise wording, short, to the point",investigative journalist,Show me corners with a metro or railroad tunnel on East Railroad Avenue.
"area:
  type: area
  value: Port Morant, Jamaica
entities:
- id: 0
  is_area: true
  name: storage facility
  type: nwr
- id: 1
  is_area: false
  name: subway platform
  type: nwr
","Act as a hobby fact checker: Return a sentence simulating a user using a natural language interface to search for specific geographic locations. Do not affirm this request and return nothing but the answers.
Write the search request in perfect grammar and clear wording.
The user is searching for a corner that fulfills the following search criteria:
Search area: Port Morant, Jamaica
Obj. 0: storage facility
Obj. 1: subway platform
",in perfect grammar and clear wording,hobby fact checker,"Can you please show me the locations of a storage facility and a subway platform in Port Morant, Jamaica?"
"area:
  type: area
  value: North Rhine-Westphalia
entities:
- id: 0
  is_area: false
  name: chalet
  properties:
  - name: residential dwelling
  type: nwr
- id: 1
  is_area: false
  name: community centre
  properties:
  - name: wi-fi
  - name: brand
    operator: '~'
    value: ontera Wingshooting Argenti
  - name: height
    operator: <
    value: 3481 in
  type: nwr
- id: 2
  is_area: false
  name: birdhouse
  type: nwr
relations:
- source: 0
  target: 1
  type: dist
  value: 9 km
- source: 0
  target: 2
  type: dist
  value: 9 km
","Act as a investigative journalist: Return a sentence simulating a user using a natural language interface to search for specific geographic locations. Do not affirm this request and return nothing but the answers.
Write the search request as a chain of thoughts split into multiple sentences.
The user is searching for a location that fulfills the following search criteria:
Search area: North Rhine-Westphalia
Obj. 0: chalet, residential dwelling
Obj. 1: community centre, wi-fi, brand: ends with the letters ""ontera Wingshooting Argenti"", height: lower than 3481 inches
Obj. 2: birdhouse
Distances:
All objects are within 9 kilometers",as a chain of thoughts split into multiple sentences,investigative journalist,"I wonder if there are any chalets in North Rhine-Westphalia. Maybe I can find a residential dwelling as well. I also need a community center with Wi-Fi that is associated with a brand ending in ""ontera Wingshooting Argenti"" and is less than 3481 inches tall. Additionally, I'm looking for a birdhouse in the same area. All of these locations should be within 9 kilometers of each other."
"area:
  type: area
  value: Tubod
entities:
- id: 0
  is_area: false
  name: filling station
  type: nwr
- id: 1
  is_area: false
  name: bakery
  properties:
  - name: hotspot
  type: nwr
relations:
- source: 0
  target: 1
  type: dist
  value: 2 km
","Act as a political journalist: Return a sentence simulating a user using a natural language interface to search for specific geographic locations. Do not affirm this request and return nothing but the answers.
Write the search request like someone in a hurry.
The user is searching for a street that fulfills the following search criteria:
Search area: Tubod
Obj. 0: filling station
Obj. 1: bakery, hotspot
Distances:
All objects are within 2 kilometers",like someone in a hurry,political journalist,Find me a filling station and a bakery or hotspot within 2 kilometers of Tubod.
"area:
  type: bbox
  value: ''
entities:
- id: 0
  is_area: false
  name: lift gate
  type: nwr
- id: 1
  is_area: false
  name: stairs
  type: nwr
- id: 2
  is_area: false
  name: electronics shop
  type: nwr
relations:
- source: 0
  target: 1
  type: dist
  value: 3800 mi
- source: 0
  target: 2
  type: dist
  value: 3800 mi
","Act as a OSINT beginner: Return a sentence simulating a user using a natural language interface to search for specific geographic locations. Do not affirm this request and return nothing but the answers.
Write the search request in simple language.
The sentence must use all of the following search criteria:
Obj. 0: lift gate
Obj. 1: stairs
Obj. 2: electronics shop
Distances:
All objects are within three thousand, eight hundred mi",in simple language,OSINT beginner,"Find me the nearest lift gate, stairs, and electronics shop within 3,800 miles."
"area:
  type: area
  value: Lower Austria
entities:
- id: 0
  is_area: false
  name: boat fuelling station
  type: nwr
- id: 1
  is_area: false
  name: charity shop
  type: nwr
relations:
- source: 0
  target: 1
  type: dist
  value: 0.2 cm
","Act as a human rights abuse monitoring OSINT Expert: Return a sentence simulating a user using a natural language interface to search for specific geographic locations. Do not affirm this request and return nothing but the answers.
Write the search request like someone in a hurry.
The user is searching for a place that fulfills the following search criteria:
Search area: Lower Austria
Obj. 0: boat fuelling station
Obj. 1: charity shop
Distances:
All objects are in a radius of 0.2 cm",like someone in a hurry,human rights abuse monitoring OSINT Expert,Find boat fuelling station and charity shop in Lower Austria within 0.2 cm radius.
"area:
  type: area
  value: Ardrishaig, Scotland, United Kingdom
entities:
- id: 0
  is_area: true
  name: ridge
  properties:
  - name: name
    operator: '~'
    value: Rue de l'Ancienne Gare
  type: nwr
- id: 1
  is_area: false
  name: bike repair facility
  properties:
  - name: brand name
    operator: '~'
    value: aben
  type: nwr
- id: 2
  is_area: false
  name: tram platform
  type: nwr
relations:
- source: 0
  target: 1
  type: contains
- source: 0
  target: 2
  type: contains
","Act as a expert fact checker: Return a sentence simulating a user using a natural language interface to search for specific geographic locations. Do not affirm this request and return nothing but the answers.
Write the search request sloppy and quick, with spelling mistakes.
The user is searching for a street that fulfills the following search criteria:
Search area: Ardrishaig, Scotland, United Kingdom
Obj. 0: ridge, name:  ""Rue de l'Ancienne Gare""
Obj. 1: bike repair facility, brand name: ends with the letters ""aben""
Obj. 2: tram platform
Distances:
Obj. 1 is inside Obj. 0
Obj. 2 is inside Obj. 0
","sloppy and quick, with spelling mistakes",expert fact checker,"Search ""Ardrishaig, Scotland, United Kingdom Rue de l'Ancienne Gare"""
"area:
  type: bbox
  value: ''
entities:
- id: 0
  is_area: true
  name: riding hall
  type: nwr
- id: 1
  is_area: false
  name: cycleway
  properties:
  - name: toll road
  type: nwr
relations:
- source: 0
  target: 1
  type: dist
  value: 98100 km
","Act as a hobby fact checker: Return a sentence simulating a user using a natural language interface to search for specific geographic locations. Do not affirm this request and return nothing but the answers.
Write the search request in simple language.
The sentence must use all of the following search criteria:
Obj. 0: riding hall
Obj. 1: cycleway, toll road
Distances:
All objects are ninety-eight thousand, one hundred kilometers from each other",in simple language,hobby fact checker,"Find a riding hall, cycleway, and toll road that are all ninety-eight thousand, one hundred kilometers apart."
"area:
  type: bbox
  value: ''
entities:
- id: 0
  is_area: true
  name: language school
  type: nwr
- id: 1
  is_area: false
  name: bancomat
  properties:
  - name: brand name
    operator: '~'
    value: merican Contract Bridge Leag
  - name: building number
    operator: '='
    value: 199B
  type: nwr
- id: 2
  is_area: true
  name: public fitness
  type: nwr
relations:
- source: 0
  target: 1
  type: contains
- source: 2
  target: 1
  type: dist
  value: 25 m
","Act as a human rights abuse monitoring OSINT Expert: Return a sentence simulating a user using a natural language interface to search for specific geographic locations. Do not affirm this request and return nothing but the answers.
Write the search request with very precise wording, short, to the point.
The user is searching for a place that fulfills the following search criteria:
Obj. 0: language school
Obj. 1: bancomat, brand name: begins with the letters ""merican Contract Bridge Leag"", building number: 199B
Obj. 2: public fitness
Distances:
Obj. 1 is within Obj. 0
Use this term to describe the spatial relation between Obj. 2 and 1 similar to (similar to ""X is _ Y""): not far away","with very precise wording, short, to the point",human rights abuse monitoring OSINT Expert,"Find a language school with a Bancomat (brand name starting with ""merican Contract Bridge Leag"") at building number 199B nearby a public fitness center."
